entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Math,05,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Math,05,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Math,06,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Math,06,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Math,06,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,ALL,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,ALL,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,03,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,03,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,03,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,04,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,04,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,04,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,05,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,05,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,05,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,06,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,06,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Science,06,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Algebra,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Algebra,ALL,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Algebra,ALL,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Geometry,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Geometry,ALL,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Geometry,ALL,2026,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Biology,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Biology,ALL,2025,,,,,,,,,,,,not_published,not_offered
school,0442707,FOUNDERS CLASSICAL ACADEMY ELEMENTARY ONLINE,Biology,ALL,2026,,,,,,,,,,,,not_published,not_offered
